1kP_Sample	Clade	Family	Species	Tissue Type	Status	Voucher Data	Sample Provider	RNA Extractor
ALZF	Green Algae	Chlorocystidaceae	Halochlorococcum marinum	algal cells	sequenced	SAG 10.90	M. Melkonian	M. Melkonian
USIX	Green Algae	Chlorosarcinaceae	Neochlorosarcina sp.	"clonal culture	 vegetative"	sequenced	M 2315	M. Melkonian	M. Melkonian
FOYQ	Green Algae	Microsporaceae	Microspora cf. tumidula	algal cells	sequenced	ASW 06004 (M1292)	M. Melkonian	B. Melkonian
DVYE	Green Algae	Oedogoniaceae	Oedogonium cardiacum	algal cells	sequenced	SAG 575-1a	M. Melkonian	M. Melkonian
SDPC	Green Algae	Oedogoniaceae	Oedogonium foveolatum	algal cells	sequenced	UTEX LB 933	M. Melkonian	M. Melkonian
KUJU	Green Algae	Goniaceae	Gonium pectorale	algal cells	sequenced	CCAC 0085	M. Melkonian	B. Melkonian
EEJO	Green Algae	incertae sedis	Neochloris oleoabundans	cells grown on 3N-BBM-V media	sequenced	UTEX 1185	N. Clarke	N. Clarke
KSFK	Green Algae	Chlorosarcinaceae	Chlorosarcinopsis halophila	algal cells	sequenced	UTEX 2073	M. Melkonian	B. Melkonian
GJIY	Green Algae	Neochloridaceae	Neochloris sp.	algal cells	sequenced	UTEX LB 1445	M. Melkonian	M. Melkonian
OTQG	Green Algae	Ankistrodesmaceae	Ankistrodesmus sp.	algal cells	sequenced	M3332	M. Melkonian	M. Melkonian
JWGT	Green Algae	Volvocaceae	Volvox aureus	algal cells	sequenced	M1028	M. Melkonian	M. Melkonian
WRSL	Green Algae	Volvocaceae	Volvox aureus	algal cells	sequenced	M2242	M. Melkonian	M. Melkonian
ISPU	Green Algae	Volvocaceae	Volvox globator	algal cells	sequenced	ASW 05075	M. Melkonian	M. Melkonian
RNAT	Green Algae	Volvocaceae	Eudorina elegans	algal cells	sequenced	CCAC 0011	M. Melkonian	M. Melkonian
RYJX	Green Algae	Volvocaceae	Pandorina morum	algal cells	sequenced	CCAC 0063	M. Melkonian	M. Melkonian
MNPL	Green Algae	Asteromonadaceae	Asteromonas gracilis	algal cells	sequenced	CCAC 0049 (M1491)	M. Melkonian	M. Melkonian
NTLE	Green Algae	Asteromonadaceae	Asteromonas gracilis	algal cells	sequenced	CCAC 0049 (M1491)	M. Melkonian	M. Melkonian
VIAU	Green Algae	Carteriaceae	Carteria crucifera	algal cells	sequenced	SAG 8-7a	M. Melkonian	M. Melkonian
RUIF	Green Algae	Carteriaceae	Carteria obtusa	algal cells	sequenced	SAG 39.84	M. Melkonian	M. Melkonian
MULF	Green Algae	Chlamydomonadaceae	Chlamydomonas bilatus	algal cells	sequenced	SAG 7.72	M. Melkonian	M. Melkonian
OVHR	Green Algae	Chlamydomonadaceae	Chlamydomonas bilatus	algal cells	sequenced	SAG 7.72	M. Melkonian	M. Melkonian
BCYF	Green Algae	Chlamydomonadaceae	Chlamydomonas cribrum	algal cells	sequenced	SAG 13.72	M. Melkonian	M. Melkonian
JRGZ	Green Algae	Chlamydomonadaceae	Chlamydomonas moewusii	algal cells	sequenced	SAG 1.98	M. Melkonian	M. Melkonian
VALZ	Green Algae	Chlamydomonadaceae	Chlamydomonas noctigama	algal cells	sequenced	SAG 36.72	M. Melkonian	M. Melkonian
TSBQ	Green Algae	Chlamydomonadaceae	Chlamydomonas sp.	algal cells	sequenced	M2762	M. Melkonian	M. Melkonian
AOUJ	Green Algae	Chlamydomonadaceae	Chlamydomonas sp.	algal cells	sequenced	M2779	M. Melkonian	M. Melkonian
GUBD	Green Algae	Chlamydomonadaceae	Brachiomonas submarina	algal cells	sequenced	CCAC 0069 (M1823)	M. Melkonian	M. Melkonian
IHOI	Green Algae	Chlamydomonadaceae	Chloromonas oogama	algal cells	sequenced	SAG 9.79	M. Melkonian	M. Melkonian
QRTH	Green Algae	Chlamydomonadaceae	Chlorococcum microstigmaticum	algal cells	sequenced	SAG 11.43	M. Melkonian	M. Melkonian
LBRP	Green Algae	Chlamydomonadaceae	Chloromonas reticulata	algal cells	sequenced	SAG 26.86	M. Melkonian	M. Melkonian
GDUD	Green Algae	Chlamydomonadaceae	Chloromonas reticulata	algal cells	sequenced	SAG 26.86	M. Melkonian	M. Melkonian
AJUW	Green Algae	Chlamydomonadaceae	Chloromonas rosae	algal cells	sequenced	UTEX SNO 47	M. Melkonian	M. Melkonian
GFUR	Green Algae	Chlamydomonadaceae	Chloromonas subdivisa	algal cells	sequenced	SAG 67.72	M. Melkonian	M. Melkonian
UTRE	Green Algae	Chlamydomonadaceae	Chloromonas tughillensis	algal cells	sequenced	UTEX SNO 88	M. Melkonian	M. Melkonian
IRYH	Green Algae	Chlamydomonadaceae	Heterochlamydomonas inaequalis	algal cells	sequenced	SAG 4.75	M. Melkonian	M. Melkonian
OFUE	Green Algae	Chlamydomonadaceae	Lobochlamys segnis	algal cells	sequenced	SAG 50.84	M. Melkonian	M. Melkonian
JKKI	Green Algae	Chlamydomonadaceae	Lobomonas rostrata	algal cells	sequenced	SAG 45-1	E. Kazamia	E. Kazamia
XDLL	Green Algae	Chlamydomonadaceae	Oogamochlamys gigantea	algal cells	sequenced	SAG 44.91	M. Melkonian	M. Melkonian
MXDS	Green Algae	Chlamydomonadaceae	Spermatozopsis exsultans	algal cells	sequenced	M0562	M. Melkonian	M. Melkonian
ENAU	Green Algae	Chlamydomonadaceae	Spermatozopsis similis	algal cells	sequenced	CCAC 0013 (M0563/1)	M. Melkonian	M. Melkonian
QWRA	Green Algae	Chlamydomonadaceae	Vitreochlamys sp.	algal cells	sequenced	M2074	M. Melkonian	M. Melkonian
WDWX	Green Algae	Dunaliellaceae	Dunaliella tertiolecta	algal cells	sequenced	UTEX LB 1000	H. Sederoff	H. Sederoff
RHVC	Green Algae	Dunaliellaceae	Dunaliella salina	algal cells	sequenced	SAG 42.88	M. Melkonian	M. Melkonian
SYJM	Green Algae	Dunaliellaceae	Dunaliella viridis dumsii	algal cells	sequenced	UTEX LB 1644	H. Sederoff	H. Sederoff
UKUC	Green Algae	Dunaliellaceae	Dunaliella salina	algal cells	sequenced	UTEX LB 200	H. Sederoff	H. Sederoff
ZDIZ	Green Algae	Dunaliellaceae	Dunaliella tertiolecta	algal cells	sequenced	CCMP 364	H. Sederoff	H. Sederoff
FXHG	Green Algae	Dunaliellaceae	Hafniomonas reticulata	algal cells	sequenced	M0530/1	M. Melkonian	M. Melkonian
ODXI	Green Algae	Haematococcaceae	Haematococcus pluvialis	algal cells (red)	sequenced	CCAC 0055	M. Melkonian	M. Melkonian
AGIO	Green Algae	Haematococcaceae	Haematococcus pluvialis	algal cells	sequenced	CCAC 0055 (M0716/1)	M. Melkonian	M. Melkonian
ZLQE	Green Algae	Haematococcaceae	Stephanosphaera pluvialis	algal cells	sequenced	SAG 78-1a	M. Melkonian	M. Melkonian
ZIVZ	Green Algae	Phacotaceae	Phacotus lenticularis	algal cells	sequenced	SAG 61-1	M. Melkonian	M. Melkonian
LNIL	Green Algae	Phacotaceae	Pteromonas angulosa	algal cells	sequenced	M2612	M. Melkonian	M. Melkonian
ACRY	Green Algae	Phacotaceae	Pteromonas sp.	algal cells	sequenced	M2761	M. Melkonian	M. Melkonian
NKXU	Green Algae	Trebouxiaceae	Trebouxia arboricola	algal cells	sequenced	SAG 219-1a	M. Melkonian	M. Melkonian
ETGN	Green Algae	Botryococcaceae	Botryococcus braunii	cells grown on 3N-BBM-V media	sequenced	UTEX 2441	N. Clarke	N. Clarke
VJDZ	Green Algae	Botryococcaceae	Botryococcus sudeticus	algal cells	sequenced	UTEX 2629	N. Clarke	N. Clarke
QYXY	Green Algae	Botryococcaceae	Botryococcus terribilis	algal cells	sequenced	ASW 05049	M. Melkonian	M. Melkonian
MWAN	Green Algae	Chlorellaceae	Chlorella minutissima	cells grown on F/2 media	sequenced	UTEX 2219	N. Clarke	N. Clarke
PFUD	Green Algae	Chlorellaceae	Geminella sp.	algal cells	sequenced	SAG 20.84	M. Melkonian	M. Melkonian
MFYC	Green Algae	Chlorellaceae	Nannochloris atomus	algal cells	sequenced	SAG 14.87	M. Melkonian	M. Melkonian
AKCR	Green Algae	Chlorellaceae	Parachlorella kessleri	algal cells	sequenced	SAG 10.80	M. Melkonian	M. Melkonian
BILC	Green Algae	Chlorellaceae	Prototheca wickerhamii	algal cells	sequenced	SAG 263-11	M. Melkonian	M. Melkonian
ZNUM	Green Algae	Leptosiraceae	Leptosira obovata	algal cells	sequenced	SAG 445-1	M. Melkonian	M. Melkonian
MNCB	Green Algae	Oocystaceae	Eremosphaera viridis	algal cells	sequenced	M0511b	M. Melkonian	M. Melkonian
DXNY	Green Algae	Microthamniaceae	Microthamnion kuetzingianum	algal cells	sequenced	CCAC 0054 (M0423)	M. Melkonian	M. Melkonian
ZDOF	Green Algae	Microthamniaceae	Microthamnion kuetzingianum	algal cells	sequenced	CCAC 0054 (M0423)	M. Melkonian	M. Melkonian
WCLV	Green Algae	Prasiolaceae	Prasiola crispa	algal cells	sequenced	SAG 43.96	M. Melkonian	M. Melkonian
WXRI	Green Algae	Prasiolaceae	Stichococcus bacillaris	algal cells	sequenced	CCAC 0076 (M1897/1)	M. Melkonian	M. Melkonian
CQQP	Green Algae	Ulvaceae	Ochlochaete sp.	algal cells	sequenced	CCMP 2390	M. Melkonian	M. Melkonian
OAEZ	Green Algae	Ulvaceae	Percursaria percursa	algal cells	sequenced	M1835	M. Melkonian	M. Melkonian
LSHT	Green Algae	Bolbocoleonaceae	Bolbocoleon piliferum	algal cells	sequenced	CCMP 2371	M. Melkonian	B. Melkonian
PZBH	Green Algae	Oltmannsiellopsidaceae	Oltmannsiellopsis viridis	algal cells	sequenced	NIES 360	M. Melkonian	B. Melkonian
QJYX	Green Algae	Oltmannsiellopsidaceae	Oltmannsiellopsis viridis	algal cells	sequenced	NIES 360	M. Melkonian	B. Melkonian
OQON	Green Algae	Ulvellaceae	Entocladia endozoica	algal cells	sequenced	UTEX B2352	M. Melkonian	M. Melkonian
VBLH	Green Algae	Cladophoraceae	Cladophora glomerata	algal cells	sequenced	CPCC 13	M. Melkonian	M. Melkonian
NATT	Green Algae	Trentepohliaceae	Trentepohlia annulata	algal cells	sequenced	SAG 20.94	M. Melkonian	M. Melkonian
YDCQ	Green Algae	Trentepohliaceae	Cephaleuros virescens	algal cells	sequenced	SAG 28.93	M. Melkonian	M. Melkonian
CBNG	Green Algae	Borodinellaceae	Planophila laetevirens	algal cells	sequenced	SAG 2008	M. Melkonian	M. Melkonian
LETF	Green Algae	Borodinellaceae	Planophila terrestris	algal cells	sequenced	SAG 32.98	M. Melkonian	M. Melkonian
DZPJ	Green Algae	Cylindrocapsaceae	Cylindrocapsa geminella	algal cells	sequenced	SAG 3.87	M. Melkonian	M. Melkonian
JIWJ	Green Algae	Ulotrichaceae	Acrosiphonia sp.	algal cells	sequenced	SAG 127.80	M. Melkonian	M. Melkonian
KADG	Green Algae	Ulotrichaceae	Ignatius tetrasporus	algal cells	sequenced	UTEX 2012	M. Melkonian	M. Melkonian
FPCO	Green Algae	Ulotrichaceae	Interfilum paradoxum	algal cells	sequenced	SAG 338-1	M. Melkonian	M. Melkonian
JTIG	Green Algae	Bryopsidaceae	Bryopsis plumosa	algal cells	sequenced	KU 272	M. Melkonian	M. Melkonian
GYBH	Green Algae	Codiaceae	Codium fragile	algal cells	sequenced	KU 654	M. Melkonian	M. Melkonian
VHIJ	Green Algae	Chaetosiphonaceae	Blastophysa cf. rhizopus	algal cells	sequenced	M3368 (BEA 0074B)	M. Melkonian	B. Melkonian
KYIO	Green Algae	Mesostigmataceae	Mesostigma viride	"clonal	 axenic culture	 vegetative"	sequenced	SAG 50-1	M. Melkonian	M. Melkonian
RRSV	Green Algae	Pedinomonadaceae	Pedinomonas minor	algal cells	sequenced	SAG 1965-3	M. Melkonian	M. Melkonian
PUAN	Green Algae	Pedinomonadaceae	Pedinomonas tuberculata	algal cells	sequenced	CCAP 1965/2	M. Melkonian	M. Melkonian
EGNB	Green Algae	Scourfieldiaceae	Scourfieldia sp.	algal cells	sequenced	M0560/2	M. Melkonian	M. Melkonian
PRIQ	Green Algae	Pleurastraceae	Chlorococcum oleofaciens	algal cells	sequenced	SAG 30.93	M. Melkonian	M. Melkonian
TGNL	Green Algae	incertae sedis	Picocystis salinarum	algal cells	sequenced	CCMP 1897	M. Melkonian	M. Melkonian
MWXT	Green Algae	Characeae	Chara vulgaris	"clonal culture	 vegetative"	sequenced	M 3183	M. Melkonian	M. Melkonian
QPDY	Green Algae	Coleochaetaceae	Coleochaete irregularis	algal cells	sequenced	UTEX LB 2790	M. Melkonian	M. Melkonian
VQBJ	Green Algae	Coleochaetaceae	Coleochaete scutata	"clonal	 axenic culture	 vegetative"	sequenced	SAG 110.80M (M 1311)	M. Melkonian	M. Melkonian
DRGY	Green Algae	Chaetosphaeridiaceae	Chaetosphaeridium globosum	"clonal	 axenic culture	 vegetative"	sequenced	M 1311 (CCAC 0044)	M. Melkonian	M. Melkonian
FQLP	Green Algae	Klebsormidiaceae	Klebsormidium subtile	"clonal	 axenic culture	 vegetative"	sequenced	M 1894/1 (CCAC 0119)	M. Melkonian	M. Melkonian
BFIK	Green Algae	Klebsormidiaceae	Entransia fimbriata	algal cells	sequenced	UTEX LB 2353	M. Melkonian	M. Melkonian
JOJQ	Green Algae	Zygnemataceae	Cylindrocystis cushleckae	algal cells	sequenced	M2158	M. Melkonian	M. Melkonian
ZRMT	Green Algae	Zygnemataceae	Mougeotia sp.	algal cells	sequenced	CCAC 0197 (M2332/1)	M. Melkonian	M. Melkonian
HAOX	Green Algae	Zygnemataceae	Spirogyra sp.	"clonal culture	 vegetative"	sequenced	M 1810	M. Melkonian	M. Melkonian
WGMD	Green Algae	Zygnemataceae	Zygnema sp.	algal cells	sequenced	M1384	M. Melkonian	M. Melkonian
MFZO	Green Algae	Zygnemataceae	Zygnemopsis sp.	algal cells	sequenced	CCAP 699/1	M. Melkonian	M. Melkonian
DRFX	Green Algae	Closteriaceae	Closterium lunula	algal cells	sequenced	M2156	M. Melkonian	M. Melkonian
DFDS	Green Algae	Desmidiaceae	Desmidium aptogonum	algal cells	sequenced	ASW 07112	M. Melkonian	M. Melkonian
QWFV	Green Algae	Desmidiaceae	Bambusina borreri	algal cells	sequenced	CCAC 0045 (M1320)	M. Melkonian	M. Melkonian
HIDG	Green Algae	Desmidiaceae	Cosmarium broomei	"clonal	 axenic culture	 vegetative"	sequenced	M 2075/1 (CCAC 0143)	M. Melkonian	M. Melkonian
MNNM	Green Algae	Desmidiaceae	Cosmarium granatum	algal cells	sequenced	CCAC 0137 (M2127/1)	M. Melkonian	M. Melkonian
STKJ	Green Algae	Desmidiaceae	Cosmarium ochthodes	algal cells	sequenced	M1384	M. Melkonian	M. Melkonian
HJVM	Green Algae	Desmidiaceae	Cosmarium ochthodes	algal cells	sequenced	ASW 07133	M. Melkonian	M. Melkonian
WDGV	Green Algae	Desmidiaceae	Cosmarium subtumidum	algal cells	sequenced	M3067	M. Melkonian	M. Melkonian
BHBK	Green Algae	Desmidiaceae	Cosmarium tinctum	algal cells	sequenced	M2301	M. Melkonian	M. Melkonian
RQFE	Green Algae	Desmidiaceae	Cosmocladium cf. constrictum	algal cells	sequenced	ASW 07118 (M1361)	M. Melkonian	M. Melkonian
GYRP	Green Algae	Desmidiaceae	Euastrum affine	algal cells	sequenced	ASW 07012	M. Melkonian	M. Melkonian
MCHJ	Green Algae	Desmidiaceae	Micrasterias fimbriata	algal cells	sequenced	ASW 07026 (M1188)	M. Melkonian	M. Melkonian
GGWH	Green Algae	Desmidiaceae	Onychonema laeve	algal cells	sequenced	CCAC 0151 (M2246/1)	M. Melkonian	M. Melkonian
RPQV	Green Algae	Desmidiaceae	Phymatodocis nordstedtiana	algal cells	sequenced	SVCK 327	M. Melkonian	M. Melkonian
MOYY	Green Algae	Desmidiaceae	Pleurotaenium trabecula	algal cells	sequenced	CCAC 0163	M. Melkonian	M. Melkonian
ISHC	Green Algae	Desmidiaceae	Staurastrum sebaldi	algal cells	sequenced	M1129	M. Melkonian	M. Melkonian
WCQU	Green Algae	Desmidiaceae	Staurodesmus convergens	algal cells	sequenced	M2558	M. Melkonian	M. Melkonian
RPRU	Green Algae	Desmidiaceae	Staurodesmus omearii	algal cells	sequenced	M0751	M. Melkonian	M. Melkonian
GBGT	Green Algae	Desmidiaceae	Xanthidium antilopaeum	algal cells	sequenced	M1229	M. Melkonian	M. Melkonian
WSJO	Green Algae	Mesotaeniaceae	Mesotaenium braunii	algal cells	sequenced	M2214	M. Melkonian	M. Melkonian
HKZW	Green Algae	Mesotaeniaceae	Mesotaenium caldariorum	algal cells	sequenced	SAG 648-1	M. Melkonian	M. Melkonian
WDCW	Green Algae	Mesotaeniaceae	Mesotaenium endlicherianum	algal cells	sequenced	SAG 12.97	M. Melkonian	M. Melkonian
NBYP	Green Algae	Mesotaeniaceae	Mesotaenium kramstae	algal cells	sequenced	UTEX LB 1025	M. Melkonian	M. Melkonian
YOXI	Green Algae	Mesotaeniaceae	Cylindrocystis brebissonii	algal cells	sequenced	M2213	M. Melkonian	M. Melkonian
RPGL	Green Algae	Mesotaeniaceae	Cylindrocystis brebissonii	algal cells	sequenced	M2853	M. Melkonian	M. Melkonian
VAZE	Green Algae	Mesotaeniaceae	Cylindrocystis sp.	algal cells	sequenced	M3015	M. Melkonian	M. Melkonian
FFGR	Green Algae	Mesotaeniaceae	Netrium digitus	"clonal	 axenic culture	 vegetative"	sequenced	M 1322/1 (CCAC 0148)	M. Melkonian	M. Melkonian
KMNX	Green Algae	Mesotaeniaceae	Nucleotaenium eifelense	algal cells	sequenced	M3006	M. Melkonian	M. Melkonian
SNOX	Green Algae	Mesotaeniaceae	Planotaenium ohtanii	algal cells	sequenced	M 2697	M. Melkonian	M. Melkonian
XRTZ	Green Algae	Mesotaeniaceae	Roya obtusa	algal cells	sequenced	M2403	M. Melkonian	M. Melkonian
NNHQ	Green Algae	Mesotaeniaceae	Spirotaenia minuta	"clonal culture	 vegetative"	sequenced	M 2661	M. Melkonian	M. Melkonian
TPHT	Green Algae	Mesotaeniaceae	Spirotaenia sp.	algal cells	sequenced	CCAC 0214	M. Melkonian	M. Melkonian
YSQT	Green Algae	Peniaceae	Penium exiguum	algal cells	sequenced	CCAC 0142 (M2159/1)	M. Melkonian	M. Melkonian
AEKF	Green Algae	Peniaceae	Penium margaritaceum	algal cells	sequenced	SAG 22.82	M. Melkonian	M. Melkonian
KEYW	Green Algae	Gonatozygaceae	Gonatozygon kinahanii	algal cells	sequenced	M2935	M. Melkonian	M. Melkonian
POOW	Glaucophyta (Algae)	Glaucocystaceae	Glaucocystis cf. nostochinearum	algal cells	sequenced	CCAC 0088 (M1106/1)	M. Melkonian	M. Melkonian
QFND	Glaucophyta (Algae)	Glaucocystaceae	Cyanophora paradoxa CCAC 0074 (M0763)	algal cells	sequenced	CCAC 0074 (M0763)	M. Melkonian	M. Melkonian
YTYU	Glaucophyta (Algae)	Glaucocystaceae	Cyanophora paradoxa CCAC 0091 (M0507/1)	algal cells	sequenced	CCAC 0091 M0507/1	M. Melkonian	M. Melkonian
PQED	Glaucophyta (Algae)	Glaucocystaceae	Gloeochaete wittrockiana	algal cells	sequenced	SAG 46.84	M. Melkonian	M. Melkonian
JKHA	Glaucophyta (Algae)	incertae sedis	Cyanoptyche gloeocystis	algal cells	sequenced	SAG 34.90 	M. Melkonian	M. Melkonian
OBUY	Red Algae	Porphyridiaceae	Porphyridium cruentum	cells grown on F/2 media	sequenced	UTEX 161	N. Clarke	N. Clarke
PVGP	Red Algae	Porphyridiaceae	Porphyridium purpureum	algal cells	sequenced	SAG 1380-1c	M. Melkonian	M. Melkonian
RSOF	Red Algae	Glaucosphaeraceae	Glaucosphaera vacuolata	algal cells	sequenced	SAG 13.82	M. Melkonian	M. Melkonian
JJZR	Red Algae	Rhodochaetaceae	Rhodochaete parvula	algal cells	sequenced	SAG 8.99	M. Melkonian	M. Melkonian
LLXJ	Red Algae	Stylonemataceae	Chroodactylon ornatum	algal cells	sequenced	CCAP 1364/1	M. Melkonian	M. Melkonian
ZULJ	Red Algae	Bangiaceae	Pyropia yezoensis	blades	sequenced	Tao Liu 201104053	Jun Yu	Jun Yu
VZWX	Red Algae	Ceramiaceae	Ceramium kondoi	branches	sequenced	Tao Liu 201202102	Jun Yu	Jun Yu
YSBD	Red Algae	Dasyaceae	Heterosiphonia pulchra	branches	sequenced	Tao Liu 201203027	Jun Yu	Jun Yu
XAXW	Red Algae	Rhodomelaceae	Neosiphonia japonica	branches and blades	sequenced	Tao Liu 201104042	Jun Yu	Jun Yu
UYFR	Red Algae	Rhodomelaceae	Symphyocladia latiuscula	branches and blades	sequenced	Tao Liu 201108701	Jun Yu	Jun Yu
IEHF	Red Algae	Dumontiaceae	Dumontia simplex	branches	sequenced	Tao Liu 201203026	Jun Yu	Jun Yu
SBLT	Red Algae	Endocladiaceae	Gloiopeltis furcata	branches and blades	sequenced	Tao Liu 201104135	Jun Yu	Jun Yu
UGPM	Red Algae	Gigartinaceae	Chondrus crispus	blades	sequenced	Tao Liu 201104049	Jun Yu	Jun Yu
WEJN	Red Algae	Gigartinaceae	Mazzaella japonica	blades	sequenced	Tao Liu 201203020	Jun Yu	Jun Yu
CKXF	Red Algae	Phyllophoraceae	Ahnfeltiopsis flabelliformis	branches and blades	sequenced	Tao Liu 201108707	Jun Yu	Jun Yu
BWVJ	Red Algae	Solieriaceae	Betaphycus philippinensis	branches	sequenced	Tao Liu 2012020043	Jun Yu	Jun Yu
JEBK	Red Algae	Solieriaceae	Eucheuma denticulatum	branches	sequenced	Tao Liu 201010021	Jun Yu	Jun Yu
IHJY	Red Algae	Solieriaceae	Kappaphycus alvarezii	branches	sequenced	Tao Liu 201103110	Jun Yu	Jun Yu
FTRP	Red Algae	Gracilariaceae	Gracilaria chouae	blades	sequenced	Tao Liu 201104180	Jun Yu	Jun Yu
VNAL	Red Algae	Gracilariaceae	Gracilaria vermiculophylla	branches	sequenced	Tao Liu 201104055	Jun Yu	Jun Yu
LJPN	Red Algae	Gracilariaceae	Gracilaria blodgettii	branches	sequenced	Tao Liu 201107006	Jun Yu	Jun Yu
IKWM	Red Algae	Gracilariaceae	Gracilaria lemaneiformis	branches	sequenced	Tao Liu 201105036	Jun Yu	Jun Yu
ZJOJ	Red Algae	Halymeniaceae	Grateloupia filicina	branches and blades	sequenced	Tao Liu 201104047	Jun Yu	Jun Yu
IKIZ	Red Algae	Halymeniaceae	Grateloupia livida	blades	sequenced	Tao Liu 201104057	Jun Yu	Jun Yu
URSB	Red Algae	Halymeniaceae	Grateloupia turuturu	blades	sequenced	Tao Liu 201104125	Jun Yu	Jun Yu
PYDB	Red Algae	Halymeniaceae	Grateloupia catenata	branches and blades	sequenced	Tao Liu 201108705	Jun Yu	Jun Yu
PWKQ	Red Algae	Halymeniaceae	Gracilaria sp.	branches and blades	sequenced	Tao Liu 201104064	Jun Yu	Jun Yu
RTLC	Red Algae	Rhodellaceae	Rhodella violacea	algal cells	sequenced	SAG 115.79	M. Melkonian	M. Melkonian
BAKF	Chromista (Algae)	Cryptomonadaceae	Cryptomonas curvata	algal cells	sequenced	CCAC 0006 (M0420)	M. Melkonian	M. Melkonian
ROZZ	Chromista (Algae)	Chroomonadaceae	Chroomonas sp.	algal cells	sequenced	M1312	M. Melkonian	M. Melkonian
MJMQ	Chromista (Algae)	Chroomonadaceae	Hemiselmis virescens	algal cells	sequenced	M1635	M. Melkonian	M. Melkonian
IRZA	Chromista (Algae)	Geminigeraceae	Proteomonas sulcata	algal cells	sequenced	CCMP 704	M. Melkonian	M. Melkonian
IAYV	Chromista (Algae)	Pyrenomonadaceae	Rhodomonas sp.	algal cells	sequenced	M1630	M. Melkonian	M. Melkonian
BAJW	Chromista (Algae)	Isochrysidaceae	Isochrysis sp.	algal cells	sequenced	CCAP 927/14	M. Melkonian	M. Melkonian
APTP	Chromista (Algae)	Ishigeaceae	Ishige okamurae	branches	sequenced	Tao Liu 201202108	Jun Yu	Jun Yu
LXRN	Chromista (Algae)	Prymnesiaceae	Prymnesium parvum	algal cells	sequenced	SAG 127.79	M. Melkonian	M. Melkonian
NMAK	Chromista (Algae)	Pavlovaceae	Pavlova lutheri	cells grown on F/2 media	sequenced	UTEX LB 1293	N. Clarke	N. Clarke
RFAD	Chromista (Algae)	Pavlovaceae	Pavlova lutheri CCAC 0028	algal cells	sequenced	CCAC 0028 (M1025)	M. Melkonian	M. Melkonian
LLEN	Chromista (Algae)	Pavlovaceae	Pavlova lutheri SAG 926-1	algal cells	sequenced	SAG 926-1	M. Melkonian	M. Melkonian
RAPY	Chromista (Algae)	Laminariaceae	Saccharina sculpera	blades	sequenced	Tao Liu 201107019	Jun Yu	Jun Yu
OGZM	Chromista (Algae)	Laminariaceae	Saccharina japonica	blades	sequenced	Tao Liu 2011040101	Jun Yu	Jun Yu
QDTV	Chromista (Algae)	Laminariaceae	Saccharina japonica	blades	sequenced	Tao Liu 2011040101	Jun Yu	Jun Yu
FIDQ	Chromista (Algae)	Alariacea	Undaria pinnatifida	leaves	sequenced	Tao Liu 201203002	Jun Yu	Jun Yu
EBWI	Chromista (Algae)	Chromulinaceae	Ochromonas sp.	algal cells	sequenced	M1920	M. Melkonian	M. Melkonian
JQFK	Chromista (Algae)	Monodopsidaceae	Picochlorum atomus	cells grown on F/2 media	sequenced	UTEX LB 1998	N. Clarke	N. Clarke
BOGT	Chromista (Algae)	Mallomonadaceae	Mallomonas sp.	algal cells	sequenced	CCAC 0094	M. Melkonian	M. Melkonian
VKVG	Chromista (Algae)	Mallomonadaceae	Synura sp.	algal cells	sequenced	M0796	M. Melkonian	B. Melkonian
DBYD	Chromista (Algae)	Mallomonadaceae	Synura petersenii	algal cells	sequenced	CCAC 0052	M. Melkonian	B. Melkonian
FSQE	Chromista (Algae)	Desmarestiaceae	Desmarestia viridis	branches and blades	sequenced	Tao Liu 201203022	Jun Yu	Jun Yu
QLMZ	Chromista (Algae)	Scytosiphonaceae	Colpomenia sinuosa	blades	sequenced	Tao Liu 2012020101	Jun Yu	Jun Yu
JCXF	Chromista (Algae)	Scytosiphonaceae	Scytosiphon lomentaria	blades	sequenced	Tao Liu 2012020100	Jun Yu	Jun Yu
ASZK	Chromista (Algae)	Chordariacea	Punctaria latifolia	leaves	sequenced	Tao Liu 201203011	Jun Yu	Jun Yu
ULXR	Chromista (Algae)	Scytosiphonacea	Scytosiphon dotyi	leaves	sequenced	Tao Liu 201203012	Jun Yu	Jun Yu
VRGZ	Chromista (Algae)	Scytosiphonacea	Petalonia fascia	leaves	sequenced	Tao Liu 201203013	Jun Yu	Jun Yu
LDRY	Chromista (Algae)	Sargassaceae	Sargassum fusiforme	branches and blades	sequenced	Tao Liu 2011040004	Jun Yu	Jun Yu
VYER	Chromista (Algae)	Sargassaceae	Sargassum hemiphyllum	branches and blades	sequenced	Tao Liu 2011120023	Jun Yu	Jun Yu
FIKG	Chromista (Algae)	Sargassaceae	Sargassum henslowianum	branches and blades	sequenced	Tao Liu 2011120024	Jun Yu	Jun Yu
RWXW	Chromista (Algae)	Sargassaceae	Sargassum horneri	branches and blades	sequenced	Tao Liu 2011050003	Jun Yu	Jun Yu
FOMH	Chromista (Algae)	Sargassaceae	Sargassum integerrimum	branches and blades	sequenced		Jun Yu	Jun Yu
YRMA	Chromista (Algae)	Sargassaceae	Sargassum thunbergii	branches and blades	sequenced	Tao Liu 201104041	Jun Yu	Jun Yu
HFIK	Chromista (Algae)	Sargassaceae	Sargassum vachellianum	branches and blades	sequenced	Tao Liu 201102023	Jun Yu	Jun Yu
